"file_name","sample_key","group"
"neg__Ex3_L_132_Null_32_1-C__4_01_25158.mzML","neg__ex3_l_132_null_32_1-c__4_01_25158","Null"
"neg__Ex3_L_132_Null_33_1-A__1_01_25132.mzML","neg__ex3_l_132_null_33_1-a__1_01_25132","Null"
"neg__Ex3_L_132_Null_35_2-E__4_01_25115.mzML","neg__ex3_l_132_null_35_2-e__4_01_25115","Null"
"neg__Ex3_L_132_Wounding_26_1-B__6_01_25151.mzML","neg__ex3_l_132_wounding_26_1-b__6_01_25151","Wounding"
"neg__Ex3_L_132_Wounding_27_2-F__8_01_25129.mzML","neg__ex3_l_132_wounding_27_2-f__8_01_25129","Wounding"
"neg__Ex3_L_132_Wounding_28_2-E__5_01_25116.mzML","neg__ex3_l_132_wounding_28_2-e__5_01_25116","Wounding"
"neg__Ex3_L_132_Wounding_29_2-D__1_01_25102.mzML","neg__ex3_l_132_wounding_29_2-d__1_01_25102","Wounding"
"neg__Ex3_L_142_Null_43_1-C__5_01_25159.mzML","neg__ex3_l_142_null_43_1-c__5_01_25159","Null"
"neg__Ex3_L_142_Null_44_2-E__3_01_25114.mzML","neg__ex3_l_142_null_44_2-e__3_01_25114","Null"
"neg__Ex3_L_142_Null_45_1-A__2_01_25133.mzML","neg__ex3_l_142_null_45_1-a__2_01_25133","Null"
"neg__Ex3_L_142_Null_46_2-F__3_01_25124.mzML","neg__ex3_l_142_null_46_2-f__3_01_25124","Null"
"neg__Ex3_L_142_Wounding_37_2-F__4_01_25125.mzML","neg__ex3_l_142_wounding_37_2-f__4_01_25125","Wounding"
"neg__Ex3_L_142_Wounding_39_1-B__7_01_25152.mzML","neg__ex3_l_142_wounding_39_1-b__7_01_25152","Wounding"
"neg__Ex3_L_142_Wounding_40_2-D__2_01_25103.mzML","neg__ex3_l_142_wounding_40_2-d__2_01_25103","Wounding"
"neg__Ex3_L_142_Wounding_41_1-A__7_01_25142.mzML","neg__ex3_l_142_wounding_41_1-a__7_01_25142","Wounding"
"neg__Ex3_L_143_Null_55_1-B__8_01_25153.mzML","neg__ex3_l_143_null_55_1-b__8_01_25153","Null"
"neg__Ex3_L_143_Null_56_2-E__2_01_25113.mzML","neg__ex3_l_143_null_56_2-e__2_01_25113","Null"
"neg__Ex3_L_143_Null_58_1-B__1_01_25146.mzML","neg__ex3_l_143_null_58_1-b__1_01_25146","Null"
"neg__Ex3_L_143_Null_59_2-D__5_01_25106.mzML","neg__ex3_l_143_null_59_2-d__5_01_25106","Null"
"neg__Ex3_L_143_Wounding_50_2-D__3_01_25104.mzML","neg__ex3_l_143_wounding_50_2-d__3_01_25104","Wounding"
"neg__Ex3_L_143_Wounding_51_1-A__8_01_25143.mzML","neg__ex3_l_143_wounding_51_1-a__8_01_25143","Wounding"
"neg__Ex3_L_143_Wounding_52_1-C__6_01_25160.mzML","neg__ex3_l_143_wounding_52_1-c__6_01_25160","Wounding"
"neg__Ex3_L_143_Wounding_53_2-D__4_01_25105.mzML","neg__ex3_l_143_wounding_53_2-d__4_01_25105","Wounding"
"neg__Ex3_L_149_Null_67_1-B__2_01_25147.mzML","neg__ex3_l_149_null_67_1-b__2_01_25147","Null"
"neg__Ex3_L_149_Null_68_2-D__6_01_25107.mzML","neg__ex3_l_149_null_68_2-d__6_01_25107","Null"
"neg__Ex3_L_149_Null_69_1-C__7_01_25161.mzML","neg__ex3_l_149_null_69_1-c__7_01_25161","Null"
"neg__Ex3_L_149_Null_71_2-E__1_01_25112.mzML","neg__ex3_l_149_null_71_2-e__1_01_25112","Null"
"neg__Ex3_L_149_Wounding_61_1-C__1_01_25156.mzML","neg__ex3_l_149_wounding_61_1-c__1_01_25156","Wounding"
"neg__Ex3_L_149_Wounding_64_2-F__1_01_25122.mzML","neg__ex3_l_149_wounding_64_2-f__1_01_25122","Wounding"
"neg__Ex3_L_149_Wounding_65_1-A__3_01_25134.mzML","neg__ex3_l_149_wounding_65_1-a__3_01_25134","Wounding"
"neg__Ex3_L_155_Null_79_1-D__1_01_25165.mzML","neg__ex3_l_155_null_79_1-d__1_01_25165","Null"
"neg__Ex3_L_155_Null_80_1-B__5_01_25150.mzML","neg__ex3_l_155_null_80_1-b__5_01_25150","Null"
"neg__Ex3_L_155_Null_82_2-D__8_01_25109.mzML","neg__ex3_l_155_null_82_2-d__8_01_25109","Null"
"neg__Ex3_L_155_Null_83_1-B__4_01_25149.mzML","neg__ex3_l_155_null_83_1-b__4_01_25149","Null"
"neg__Ex3_L_155_Wounding_73_1-D__5_01_25169.mzML","neg__ex3_l_155_wounding_73_1-d__5_01_25169","Wounding"
"neg__Ex3_L_155_Wounding_74_2-F__2_01_25123.mzML","neg__ex3_l_155_wounding_74_2-f__2_01_25123","Wounding"
"neg__Ex3_L_155_Wounding_75_2-D__7_01_25108.mzML","neg__ex3_l_155_wounding_75_2-d__7_01_25108","Wounding"
"neg__Ex3_L_155_Wounding_76_1-B__3_01_25148.mzML","neg__ex3_l_155_wounding_76_1-b__3_01_25148","Wounding"
"neg__Ex3_L_155_Wounding_77_1-C__8_01_25162.mzML","neg__ex3_l_155_wounding_77_1-c__8_01_25162","Wounding"
"neg__Ex3_L_EV_Null_20_2-C__7_01_25098.mzML","neg__ex3_l_ev_null_20_2-c__7_01_25098","Null"
"neg__Ex3_L_EV_Null_21_2-E__6_01_25117.mzML","neg__ex3_l_ev_null_21_2-e__6_01_25117","Null"
"neg__Ex3_L_EV_Null_22_2-F__5_01_25126.mzML","neg__ex3_l_ev_null_22_2-f__5_01_25126","Null"
"neg__Ex3_L_EV_Null_23_2-C__8_01_25099.mzML","neg__ex3_l_ev_null_23_2-c__8_01_25099","Null"
"neg__Ex3_L_EV_Wounding_13_2-F__6_01_25127.mzML","neg__ex3_l_ev_wounding_13_2-f__6_01_25127","Wounding"
"neg__Ex3_L_EV_Wounding_14_1-D__4_01_25168.mzML","neg__ex3_l_ev_wounding_14_1-d__4_01_25168","Wounding"
"neg__Ex3_L_EV_Wounding_15_2-C__6_01_25097.mzML","neg__ex3_l_ev_wounding_15_2-c__6_01_25097","Wounding"
"neg__Ex3_L_EV_Wounding_16_2-E__7_01_25118.mzML","neg__ex3_l_ev_wounding_16_2-e__7_01_25118","Wounding"
"neg__Ex3_L_EV_Wounding_17_1-A__5_01_25141.mzML","neg__ex3_l_ev_wounding_17_1-a__5_01_25141","Wounding"
"neg_Ex1_L_132_Null_31_2-C__6_01_25405.mzML","neg_ex1_l_132_null_31_2-c__6_01_25405","Null"
"neg_Ex1_L_132_Null_32_2-A__8_01_25387.mzML","neg_ex1_l_132_null_32_2-a__8_01_25387","Null"
"neg_Ex1_L_132_Null_33_2-C__4_01_25403.mzML","neg_ex1_l_132_null_33_2-c__4_01_25403","Null"
"neg_Ex1_L_132_Wounding_25_2-E__3_01_25422.mzML","neg_ex1_l_132_wounding_25_2-e__3_01_25422","Wounding"
"neg_Ex1_L_132_Wounding_26_2-E__5_01_25424.mzML","neg_ex1_l_132_wounding_26_2-e__5_01_25424","Wounding"
"neg_Ex1_L_132_Wounding_27_2-A__1_01_25380.mzML","neg_ex1_l_132_wounding_27_2-a__1_01_25380","Wounding"
"neg_Ex1_L_142_Null_43_2-E__2_01_25421.mzML","neg_ex1_l_142_null_43_2-e__2_01_25421","Null"
"neg_Ex1_L_142_Null_44_2-B__8_01_25397.mzML","neg_ex1_l_142_null_44_2-b__8_01_25397","Null"
"neg_Ex1_L_142_Null_45_2-E__8_01_25427.mzML","neg_ex1_l_142_null_45_2-e__8_01_25427","Null"
"neg_Ex1_L_142_Wounding_37_2-D__7_01_25416.mzML","neg_ex1_l_142_wounding_37_2-d__7_01_25416","Wounding"
"neg_Ex1_L_142_Wounding_38_2-B__5_01_25394.mzML","neg_ex1_l_142_wounding_38_2-b__5_01_25394","Wounding"
"neg_Ex1_L_142_Wounding_39_2-E__7_01_25426.mzML","neg_ex1_l_142_wounding_39_2-e__7_01_25426","Wounding"
"neg_Ex1_L_142_Wounding_61_2-C__5_01_25404.mzML","neg_ex1_l_142_wounding_61_2-c__5_01_25404","Wounding"
"neg_Ex1_L_143_Null_55_2-A__4_01_25383.mzML","neg_ex1_l_143_null_55_2-a__4_01_25383","Null"
"neg_Ex1_L_143_Null_56_2-C__8_01_25407.mzML","neg_ex1_l_143_null_56_2-c__8_01_25407","Null"
"neg_Ex1_L_143_Null_57_2-F__1_01_25430.mzML","neg_ex1_l_143_null_57_2-f__1_01_25430","Null"
"neg_Ex1_L_143_Wounding_49_2-A__7_01_25386.mzML","neg_ex1_l_143_wounding_49_2-a__7_01_25386","Wounding"
"neg_Ex1_L_143_Wounding_50_2-B__3_01_25392.mzML","neg_ex1_l_143_wounding_50_2-b__3_01_25392","Wounding"
"neg_Ex1_L_143_Wounding_51_2-D__5_01_25414.mzML","neg_ex1_l_143_wounding_51_2-d__5_01_25414","Wounding"
"neg_Ex1_L_149_Null_67_2-B__2_01_25391.mzML","neg_ex1_l_149_null_67_2-b__2_01_25391","Null"
"neg_Ex1_L_149_Null_68_2-D__4_01_25413.mzML","neg_ex1_l_149_null_68_2-d__4_01_25413","Null"
"neg_Ex1_L_149_Null_69_2-E__6_01_25425.mzML","neg_ex1_l_149_null_69_2-e__6_01_25425","Null"
"neg_Ex1_L_149_Wounding_62_2-E__1_01_25420.mzML","neg_ex1_l_149_wounding_62_2-e__1_01_25420","Wounding"
"neg_Ex1_L_149_Wounding_63_2-F__2_01_25431.mzML","neg_ex1_l_149_wounding_63_2-f__2_01_25431","Wounding"
"neg_Ex1_L_155_Null_79_2-B__6_01_25395.mzML","neg_ex1_l_155_null_79_2-b__6_01_25395","Null"
"neg_Ex1_L_155_Null_80_2-E__4_01_25423.mzML","neg_ex1_l_155_null_80_2-e__4_01_25423","Null"
"neg_Ex1_L_155_Null_81_2-A__2_01_25381.mzML","neg_ex1_l_155_null_81_2-a__2_01_25381","Null"
"neg_Ex1_L_155_Wounding_73_2-A__5_01_25384.mzML","neg_ex1_l_155_wounding_73_2-a__5_01_25384","Wounding"
"neg_Ex1_L_155_Wounding_74_2-C__1_01_25400.mzML","neg_ex1_l_155_wounding_74_2-c__1_01_25400","Wounding"
"neg_Ex1_L_155_Wounding_75_2-D__1_01_25410.mzML","neg_ex1_l_155_wounding_75_2-d__1_01_25410","Wounding"
"neg_Ex1_L_EV_Null_19_2-C__2_01_25401.mzML","neg_ex1_l_ev_null_19_2-c__2_01_25401","Null"
"neg_Ex1_L_EV_Null_20_2-D__6_01_25415.mzML","neg_ex1_l_ev_null_20_2-d__6_01_25415","Null"
"neg_Ex1_L_EV_Null_21_2-B__4_01_25393.mzML","neg_ex1_l_ev_null_21_2-b__4_01_25393","Null"
"neg_Ex1_L_EV_Wounding_13_2-A__3_01_25382.mzML","neg_ex1_l_ev_wounding_13_2-a__3_01_25382","Wounding"
"neg_Ex1_L_EV_Wounding_14_2-D__3_01_25412.mzML","neg_ex1_l_ev_wounding_14_2-d__3_01_25412","Wounding"
"neg_Ex1_L_EV_Wounding_15_2-C__3_01_25402.mzML","neg_ex1_l_ev_wounding_15_2-c__3_01_25402","Wounding"
"neg_Ex2_L_132_Null_31_1-C__4_01_25031.mzML","neg_ex2_l_132_null_31_1-c__4_01_25031","Null"
"neg_Ex2_L_132_Null_32_1-D__2_01_25039.mzML","neg_ex2_l_132_null_32_1-d__2_01_25039","Null"
"neg_Ex2_L_132_Null_33_1-D__4_01_25041.mzML","neg_ex2_l_132_null_33_1-d__4_01_25041","Null"
"neg_Ex2_L_132_Null_34_1-F__6_01_25063.mzML","neg_ex2_l_132_null_34_1-f__6_01_25063","Null"
"neg_Ex2_L_132_Wounding_25_1-B__6_01_25023.mzML","neg_ex2_l_132_wounding_25_1-b__6_01_25023","Wounding"
"neg_Ex2_L_132_Wounding_26_1-F__5_01_25062.mzML","neg_ex2_l_132_wounding_26_1-f__5_01_25062","Wounding"
"neg_Ex2_L_132_Wounding_27_1-A__6_01_25013.mzML","neg_ex2_l_132_wounding_27_1-a__6_01_25013","Wounding"
"neg_Ex2_L_142_Null_43_1-C__6_01_25033.mzML","neg_ex2_l_142_null_43_1-c__6_01_25033","Null"
"neg_Ex2_L_142_Null_44_1-F__2_01_25059.mzML","neg_ex2_l_142_null_44_1-f__2_01_25059","Null"
"neg_Ex2_L_142_Null_45_1-E__6_01_25053.mzML","neg_ex2_l_142_null_45_1-e__6_01_25053","Null"
"neg_Ex2_L_142_Null_46_1-D__7_01_25044.mzML","neg_ex2_l_142_null_46_1-d__7_01_25044","Null"
"neg_Ex2_L_142_Wounding_37_1-C__8_01_25035.mzML","neg_ex2_l_142_wounding_37_1-c__8_01_25035","Wounding"
"neg_Ex2_L_142_Wounding_38_1-B__8_01_25025.mzML","neg_ex2_l_142_wounding_38_1-b__8_01_25025","Wounding"
"neg_Ex2_L_142_Wounding_39_1-B__1_01_25018.mzML","neg_ex2_l_142_wounding_39_1-b__1_01_25018","Wounding"
"neg_Ex2_L_143_Null_55_1-A__2_01_25009.mzML","neg_ex2_l_143_null_55_1-a__2_01_25009","Null"
"neg_Ex2_L_143_Null_56_1-E__1_01_25048.mzML","neg_ex2_l_143_null_56_1-e__1_01_25048","Null"
"neg_Ex2_L_143_Null_57_1-A__7_01_25014.mzML","neg_ex2_l_143_null_57_1-a__7_01_25014","Null"
"neg_Ex2_L_143_Null_58_1-C__1_01_25028.mzML","neg_ex2_l_143_null_58_1-c__1_01_25028","Null"
"neg_Ex2_L_143_Wounding_49_1-F__4_01_25061.mzML","neg_ex2_l_143_wounding_49_1-f__4_01_25061","Wounding"
"neg_Ex2_L_143_Wounding_50_1-D__3_01_25040.mzML","neg_ex2_l_143_wounding_50_1-d__3_01_25040","Wounding"
"neg_Ex2_L_143_Wounding_51_1-F__1_01_25058.mzML","neg_ex2_l_143_wounding_51_1-f__1_01_25058","Wounding"
"neg_Ex2_L_149_Null_67_1-A__4_01_25011.mzML","neg_ex2_l_149_null_67_1-a__4_01_25011","Null"
"neg_Ex2_L_149_Null_68_1-C__3_01_25030.mzML","neg_ex2_l_149_null_68_1-c__3_01_25030","Null"
"neg_Ex2_L_149_Null_69_1-D__1_01_25038.mzML","neg_ex2_l_149_null_69_1-d__1_01_25038","Null"
"neg_Ex2_L_149_Null_70_2-A__1_01_25066.mzML","neg_ex2_l_149_null_70_2-a__1_01_25066","Null"
"neg_Ex2_L_149_Wounding_61_1-C__2_01_25029.mzML","neg_ex2_l_149_wounding_61_1-c__2_01_25029","Wounding"
"neg_Ex2_L_149_Wounding_62_1-E__7_01_25054.mzML","neg_ex2_l_149_wounding_62_1-e__7_01_25054","Wounding"
"neg_Ex2_L_149_Wounding_63_1-B__3_01_25020.mzML","neg_ex2_l_149_wounding_63_1-b__3_01_25020","Wounding"
"neg_Ex2_L_155_Null_79_1-E__8_01_25055.mzML","neg_ex2_l_155_null_79_1-e__8_01_25055","Null"
"neg_Ex2_L_155_Null_80_1-E__4_01_25051.mzML","neg_ex2_l_155_null_80_1-e__4_01_25051","Null"
"neg_Ex2_L_155_Null_81_1-C__7_01_25034.mzML","neg_ex2_l_155_null_81_1-c__7_01_25034","Null"
"neg_Ex2_L_155_Null_82_1-B__5_01_25022.mzML","neg_ex2_l_155_null_82_1-b__5_01_25022","Null"
"neg_Ex2_L_155_Wounding_73_1-A__3_01_25010.mzML","neg_ex2_l_155_wounding_73_1-a__3_01_25010","Wounding"
"neg_Ex2_L_155_Wounding_74_1-D__8_01_25045.mzML","neg_ex2_l_155_wounding_74_1-d__8_01_25045","Wounding"
"neg_Ex2_L_155_Wounding_75_1-D__6_01_25043.mzML","neg_ex2_l_155_wounding_75_1-d__6_01_25043","Wounding"
"neg_Ex2_L_EV_Null_19_1-A__1_01_25008.mzML","neg_ex2_l_ev_null_19_1-a__1_01_25008","Null"
"neg_Ex2_L_EV_Null_20_1-D__5_01_25042.mzML","neg_ex2_l_ev_null_20_1-d__5_01_25042","Null"
"neg_Ex2_L_EV_Null_21_1-A__5_01_25012.mzML","neg_ex2_l_ev_null_21_1-a__5_01_25012","Null"
"neg_Ex2_L_EV_Null_22_1-F__3_01_25060.mzML","neg_ex2_l_ev_null_22_1-f__3_01_25060","Null"
"neg_Ex2_L_EV_Wounding_13_1-C__5_01_25032.mzML","neg_ex2_l_ev_wounding_13_1-c__5_01_25032","Wounding"
"neg_Ex2_L_EV_Wounding_14_1-B__7_01_25024.mzML","neg_ex2_l_ev_wounding_14_1-b__7_01_25024","Wounding"
"neg_Ex2_L_EV_Wounding_15_2-A__3_01_25068.mzML","neg_ex2_l_ev_wounding_15_2-a__3_01_25068","Wounding"
"neg_Ex3_L_132_Null_31_2-B__7_01_25088.mzML","neg_ex3_l_132_null_31_2-b__7_01_25088","Null"
"neg_Ex3_L_132_Null_34_2-A__8_01_25079.mzML","neg_ex3_l_132_null_34_2-a__8_01_25079","Null"
"neg_Ex3_L_132_Wounding_25_2-A__7_01_25078.mzML","neg_ex3_l_132_wounding_25_2-a__7_01_25078","Wounding"
"neg_Ex3_L_142_Null_47_2-B__1_01_25082.mzML","neg_ex3_l_142_null_47_2-b__1_01_25082","Null"
"neg_Ex3_L_142_Wounding_38_2-B__8_01_25089.mzML","neg_ex3_l_142_wounding_38_2-b__8_01_25089","Wounding"
"neg_Ex3_L_143_Wounding_49_2-C__1_01_25092.mzML","neg_ex3_l_143_wounding_49_2-c__1_01_25092","Wounding"
"neg_Ex3_L_149_Null_70_2-B__3_01_25084.mzML","neg_ex3_l_149_null_70_2-b__3_01_25084","Null"
"neg_Ex3_L_149_Wounding_57_2-C__2_01_25093.mzML","neg_ex3_l_149_wounding_57_2-c__2_01_25093","Wounding"
"neg_Ex3_L_149_Wounding_62_2-B__2_01_25083.mzML","neg_ex3_l_149_wounding_62_2-b__2_01_25083","Wounding"
"neg_Ex3_L_149_Wounding_63_2-C__3_01_25094.mzML","neg_ex3_l_149_wounding_63_2-c__3_01_25094","Wounding"
"neg_Ex3_L_155_Null_81_2-C__4_01_25095.mzML","neg_ex3_l_155_null_81_2-c__4_01_25095","Null"
"neg_Ex3_L_EV_Null_19_2-B__6_01_25087.mzML","neg_ex3_l_ev_null_19_2-b__6_01_25087","Null"
